order_id,customer_id,product_id,order_date,quantity,unit_price,amount,status,region
O000001,C00163,P0037,2026-02-27,3,337.76,1013.28,pending,West
O000002,C00139,P0044,2026-01-04,6,304.28,1825.68,completed,North
O000003,C00290,P0011,2026-03-12,4,185.69,742.76,completed,West
O000004,C00266,P0030,2026-01-20,5,371.15,1855.75,completed,Central
O000005,C00137,P0018,2026-04-12,1,209.6,209.6,completed,East
O000006,C00048,P0026,2026-06-08,3,320.92,962.76,shipped,South
O000007,C00287,P0049,2026-06-26,1,170.02,170.02,cancelled,South
O000008,C00001,P0036,2026-01-18,1,369.18,369.18,completed,Central
O000009,C00022,P0046,2026-06-10,3,289.59,868.77,cancelled,North
O000010,C00010,P0009,2026-01-06,4,399.86,1599.44,completed,West
O000011,C00010,P0050,2026-06-01,1,314.46,314.46,shipped,West
O000012,C00027,P0050,2026-02-20,5,314.46,1572.3,completed,West
O000013,C00103,P0032,2026-02-26,1,206.95,206.95,completed,Central
O000014,C00017,P0029,2026-02-21,1,353.41,353.41,completed,East
O000015,C00258,P0034,2026-05-03,4,130.08,520.32,cancelled,West
O000016,C00050,P0034,2026-04-18,6,130.08,780.48,shipped,East
O000017,C00054,P0005,2026-03-20,4,36.89,147.56,completed,South
O000018,C00043,P0023,2026-01-21,1,252.53,252.53,completed,South
O000019,C00126,P0002,2026-05-11,2,358.45,716.9,completed,West
O000020,C00157,P0004,2026-01-02,6,179.23,1075.38,completed,North
O000021,C00004,P0001,2026-03-21,2,131.2,262.4,shipped,East
O000022,C00227,P0013,2026-01-23,4,187.12,748.48,shipped,South
O000023,C00173,P0007,2026-03-31,2,129.12,258.24,returned,West
O000024,C00126,P0038,2026-01-12,1,261.18,261.18,completed,West
O000025,C00226,P0027,2026-01-11,5,176.06,880.3,cancelled,East
O000026,C00077,P0006,2026-06-04,4,182.61,730.44,shipped,West
O000027,C00174,P0002,2026-05-08,5,358.45,1792.25,cancelled,South
O000028,C00300,P0012,2026-06-08,2,339.88,679.76,completed,South
O000029,C00261,P0039,2026-01-18,6,43.18,259.08,completed,Central
O000030,C00252,P0013,2026-01-16,2,187.12,374.24,shipped,Central
O000031,C00052,P0044,2026-05-12,4,304.28,1217.12,completed,West
O000032,C00286,P0024,2026-01-31,2,190.42,380.84,returned,Central
O000033,C00055,P0038,2026-03-16,4,261.18,1044.72,completed,South
O000034,C00207,P0043,2026-05-01,3,250.32,750.96,completed,West
O000035,C00279,P0017,2026-03-22,1,227.78,227.78,shipped,South
O000036,C00118,P0026,2026-03-26,1,320.92,320.92,shipped,East
O000037,C00213,P0032,2026-05-13,2,206.95,413.9,returned,North
O000038,C00298,P0021,2026-04-29,2,250.81,501.62,completed,West
O000039,C00047,P0036,2026-02-05,3,369.18,1107.54,completed,South
O000040,C00083,P0030,2026-04-07,3,371.15,1113.45,completed,East
O000041,C00209,P0048,2026-04-12,2,351.02,702.04,pending,West
O000042,C00294,P0011,2026-01-07,6,185.69,1114.14,returned,South
O000043,C00090,P0040,2026-01-04,5,182.51,912.55,cancelled,South
O000044,C00069,P0046,2026-06-30,6,289.59,1737.54,completed,East
O000045,C00080,P0010,2026-01-07,6,139.46,836.76,completed,South
O000046,C00207,P0009,2026-02-11,5,399.86,1999.3,completed,West
O000047,C00013,P0030,2026-06-24,5,371.15,1855.75,cancelled,North
O000048,C00187,P0045,2026-01-12,4,7.03,28.12,completed,North
O000049,C00062,P0042,2026-05-19,5,318.54,1592.7,pending,West
O000050,C00285,P0043,2026-04-26,1,250.32,250.32,completed,West
O000051,C00161,P0008,2026-01-31,4,142.32,569.28,pending,West
O000052,C00054,P0004,2026-03-01,2,179.23,358.46,cancelled,South
O000053,C00074,P0041,2026-03-29,2,5.08,10.16,shipped,West
O000054,C00187,P0038,2026-04-22,6,261.18,1567.08,completed,North
O000055,C00241,P0042,2026-05-15,2,318.54,637.08,shipped,West
O000056,C00017,P0026,2026-06-14,5,320.92,1604.6,completed,East
O000057,C00207,P0007,2026-06-10,1,129.12,129.12,completed,West
O000058,C00098,P0007,2026-05-16,3,129.12,387.36,shipped,East
O000059,C00234,P0004,2026-01-11,1,179.23,179.23,completed,Central
O000060,C00110,P0009,2026-05-20,4,399.86,1599.44,returned,East
O000061,C00297,P0045,2026-04-11,5,7.03,35.15,completed,West
O000062,C00134,P0014,2026-02-26,2,356.93,713.86,shipped,Central
O000063,C00203,P0019,2026-03-23,3,93.69,281.07,completed,North
O000064,C00104,P0005,2026-04-03,1,36.89,36.89,completed,Central
O000065,C00028,P0047,2026-04-22,2,93.06,186.12,cancelled,North
O000066,C00037,P0032,2026-05-02,1,206.95,206.95,cancelled,South
O000067,C00087,P0008,2026-03-11,2,142.32,284.64,completed,Central
O000068,C00188,P0041,2026-01-19,4,5.08,20.32,completed,West
O000069,C00188,P0036,2026-01-10,5,369.18,1845.9,returned,West
O000070,C00209,P0036,2026-05-20,1,369.18,369.18,returned,West
O000071,C00167,P0007,2026-03-06,2,129.12,258.24,completed,Central
O000072,C00040,P0025,2026-01-11,2,163.82,327.64,cancelled,West
O000073,C00075,P0002,2026-02-15,3,358.45,1075.35,completed,South
O000074,C00056,P0011,2026-04-01,2,185.69,371.38,completed,Central
O000075,C00061,P0024,2026-01-22,3,190.42,571.26,pending,West
O000076,C00129,P0009,2026-01-30,5,399.86,1999.3,completed,North
O000077,C00060,P0019,2026-05-26,1,93.69,93.69,returned,East
O000078,C00069,P0034,2026-02-24,5,130.08,650.4,shipped,East
O000079,C00034,P0048,2026-02-28,3,351.02,1053.06,returned,East
O000080,C00059,P0009,2026-02-03,2,399.86,799.72,completed,East
O000081,C00268,P0014,2026-06-20,6,356.93,2141.58,shipped,East
O000082,C00251,P0014,2026-05-17,4,356.93,1427.72,shipped,Central
O000083,C00024,P0026,2026-03-16,6,320.92,1925.52,completed,South
O000084,C00157,P0024,2026-02-13,3,190.42,571.26,returned,North
O000085,C00267,P0025,2026-06-26,3,163.82,491.46,completed,South
O000086,C00078,P0044,2026-03-07,2,304.28,608.56,returned,East
O000087,C00221,P0029,2026-03-10,1,353.41,353.41,cancelled,East
O000088,C00081,P0046,2026-06-07,6,289.59,1737.54,shipped,Central
O000089,C00131,P0020,2026-06-11,4,385.28,1541.12,shipped,East
O000090,C00021,P0026,2026-03-12,6,320.92,1925.52,shipped,Central
O000091,C00115,P0006,2026-06-06,2,182.61,365.22,shipped,Central
O000092,C00027,P0047,2026-06-19,3,93.06,279.18,completed,West
O000093,C00146,P0002,2026-05-28,4,358.45,1433.8,completed,West
O000094,C00006,P0030,2026-05-27,4,371.15,1484.6,completed,South
O000095,C00219,P0022,2026-03-09,6,195.43,1172.58,completed,West
O000096,C00105,P0015,2026-05-11,4,173.05,692.2,returned,Central
O000097,C00086,P0044,2026-04-10,5,304.28,1521.4,returned,Central
O000098,C00238,P0031,2026-01-28,1,107.74,107.74,pending,West
O000099,C00206,P0049,2026-03-14,3,170.02,510.06,completed,Central
O000100,C00157,P0026,2026-01-12,2,320.92,641.84,shipped,North
O000101,C00014,P0012,2026-03-22,4,339.88,1359.52,pending,South
O000102,C00066,P0016,2026-04-18,4,367.12,1468.48,cancelled,Central
O000103,C00245,P0001,2026-03-28,4,131.2,524.8,pending,Central
O000104,C00196,P0038,2026-04-01,1,261.18,261.18,shipped,East
O000105,C00155,P0047,2026-05-20,1,93.06,93.06,shipped,Central
O000106,C00269,P0036,2026-02-14,1,369.18,369.18,cancelled,North
O000107,C00294,P0016,2026-04-21,2,367.12,734.24,returned,South
